22843	11689	Home
26437	11692	Home
16352	11694	Home
11068	11696	Home
25927	11698	Home
11986	11699	Home
14577	11705	Home
29316	11709	Home
15149	11710	Home
12980	11711	Home
16334	11716	Home
27991	11718	Home
24352	11722	Home
13241	11724	Home
26360	11725	Home
12010	11727	Home
18383	11728	Home
15840	11729	Home
14165	11730	Home
25765	11733	Home
14809	11734	Home
15774	11737	Home
19578	11738	Home
23413	11739	Home
18721	11742	Home
12916	11744	Home
14363	11754	Home
23187	11755	Home
16123	11756	Home
17341	11758	Home
16732	11759	Home
14126	11765	Home
26401	11766	Home
25182	11768	Home
15966	11769	Home
19620	11770	Home
28095	11772	Home
25760	11773	Home
20900	11775	Home
12905	11780	Home
20457	11781	Home
27683	11783	Home
17379	11786	Home
17565	11789	Home
26655	11790	Home
19541	11795	Home
12761	11796	Home
21480	11797	Home
18200	11798	Home
24830	11799	Home
20736	11800	Home
21975	11801	Home
23244	11802	Home
14558	11804	Home
25929	11806	Home
23832	11807	Home
25249	11809	Home
15430	11810	Home
25911	11813	Home
18558	11814	Home
23314	11816	Home
24961	11817	Home
23323	11818	Home
11196	11820	Home
22268	11821	Home
26623	11822	Home
11632	11826	Home
18501	11829	Home
27685	11830	Home
26165	11834	Home
23629	11835	Home
15498	11836	Home
17626	11838	Home
25796	11839	Home
23844	11841	Home
12598	11842	Home
20456	11844	Home
16178	11846	Home
19601	11849	Home
18097	11850	Home
21415	11851	Home
14583	11854	Home
25958	11856	Home
23038	11857	Home
13118	11858	Home
28746	11863	Home
11919	11864	Home
15207	11865	Home
17236	11867	Home
23736	11869	Home
28594	11870	Home
24585	11871	Home
14272	11873	Home
15227	11874	Home
11653	11876	Home
11026	11877	Home
11735	11878	Home
26700	11879	Home
23262	11883	Home
23667	11884	Home
23938	11885	Home
27073	11886	Home
11014	11888	Home
23310	11889	Home
21366	11891	Home
19608	11892	Home
11226	11893	Home
28484	11897	Home
23480	11898	Home
15051	11901	Home
14963	11902	Home
14886	11903	Home
27921	11904	Home
17871	11906	Home
29359	11907	Home
29276	11909	Home
28924	11910	Home
20604	11911	Home
21184	11915	Home
18860	11916	Home
13371	11917	Home
12004	11920	Home
28930	11921	Home
24171	11922	Home
14859	11927	Home
29022	11929	Home
11995	11930	Home
22901	11931	Home
24541	11932	Home
21555	11934	Home
24399	11935	Home
11359	11938	Home
20626	11939	Home
27879	11949	Home
14314	11952	Home
14915	11955	Home
21709	11958	Home
22166	11959	Home
28178	11961	Home
22313	11963	Home
13636	11966	Home
20016	11967	Home
15315	11971	Home
16635	11975	Home
19668	11981	Home
28742	11983	Home
14574	11987	Home
23141	11990	Home
14212	11991	Home
21180	11994	Home
26760	11997	Home
26833	11999	Home
28786	12000	Home
16970	12001	Home
25448	12002	Home
13408	12003	Home
28771	12007	Home
11526	12010	Home
15310	12011	Home
14123	12012	Home
15668	12015	Home
13920	12016	Home
11279	12018	Home
25289	12021	Home
11131	12025	Home
14606	12026	Home
15888	12028	Home
11732	12029	Home
27556	12030	Home
13714	12032	Home
14036	12033	Home
23404	12035	Home
12116	12036	Home
26219	12039	Home
14358	12040	Home
13224	12041	Home
24880	12044	Home
17492	12045	Home
26753	12049	Home
20909	12050	Home
22855	12053	Home
18990	12055	Home
24363	12057	Home
15214	12058	Home
12347	12059	Home
28113	12061	Home
16189	12065	Home
25949	12067	Home
22981	12068	Home
21181	12069	Home
23735	12070	Home
15406	12074	Home
16217	12078	Home
28822	12080	Home
20266	12083	Home
19060	12087	Home
17867	12089	Home
22253	12092	Home
17583	12093	Home
27370	12096	Home
11213	12097	Home
21223	12098	Home
24976	12104	Home
13763	12105	Home
25193	12107	Home
27429	12109	Home
17064	12113	Home
12853	12116	Home
19699	12117	Home
20748	12118	Home
20415	12119	Home
25387	12120	Home
25892	12124	Home
27842	12125	Home
13990	12126	Home
22582	12127	Home
16855	12129	Home
29211	12130	Home
19224	12133	Home
22264	12134	Home
16045	12135	Home
18262	12137	Home
28599	12140	Home
20420	12141	Home
20210	12142	Home
25158	12143	Home
26316	12145	Home
25992	12147	Home
17204	12148	Home
26966	12149	Home
12859	12150	Home
13117	12151	Home
18463	12155	Home
21586	12157	Home
20634	12160	Home
20255	12165	Home
28261	12166	Home
15694	12168	Home
22903	12169	Home
16405	12171	Home
15558	12173	Home
13861	12174	Home
17453	12176	Home
22753	12179	Home
18702	12180	Home
19008	12182	Home
26270	12183	Home
