43697	1	2012-07-01 00:00:00.000	2012-07-13 00:00:00.000	2012-07-13 00:00:00.000	5	SO43697	21768	23148	23148	1
43699	1	2012-07-01 00:00:00.000	2012-07-13 00:00:00.000	2012-07-13 00:00:00.000	5	SO43699	25863	19613	19613	1
43701	1	2012-07-01 00:00:00.000	2012-07-13 00:00:00.000	2012-07-13 00:00:00.000	5	SO43701	11003	20425	20425	2
43703	1	2012-07-02 00:00:00.000	2012-07-14 00:00:00.000	2012-07-14 00:00:00.000	5	SO43703	16624	23967	23967	2
43704	1	2012-07-02 00:00:00.000	2012-07-14 00:00:00.000	2012-07-14 00:00:00.000	5	SO43704	11005	16025	16025	2
43705	1	2012-07-02 00:00:00.000	2012-07-14 00:00:00.000	2012-07-14 00:00:00.000	5	SO43705	11011	27345	27345	2
43708	1	2012-07-03 00:00:00.000	2012-07-15 00:00:00.000	2012-07-15 00:00:00.000	5	SO43708	20042	18427	18427	3
43709	1	2012-07-03 00:00:00.000	2012-07-15 00:00:00.000	2012-07-15 00:00:00.000	5	SO43709	16351	13951	13951	2
43710	1	2012-07-03 00:00:00.000	2012-07-15 00:00:00.000	2012-07-15 00:00:00.000	5	SO43710	16517	25446	25446	2
43711	1	2012-07-04 00:00:00.000	2012-07-16 00:00:00.000	2012-07-16 00:00:00.000	5	SO43711	27606	18404	18404	1
43714	1	2012-07-05 00:00:00.000	2012-07-17 00:00:00.000	2012-07-17 00:00:00.000	5	SO43714	13591	15169	15169	2
43715	1	2012-07-05 00:00:00.000	2012-07-17 00:00:00.000	2012-07-17 00:00:00.000	5	SO43715	16483	28213	28213	2
43716	1	2012-07-05 00:00:00.000	2012-07-17 00:00:00.000	2012-07-17 00:00:00.000	5	SO43716	16529	23557	23557	2
43717	1	2012-07-05 00:00:00.000	2012-07-17 00:00:00.000	2012-07-17 00:00:00.000	5	SO43717	25249	11809	11809	2
43718	1	2012-07-06 00:00:00.000	2012-07-18 00:00:00.000	2012-07-18 00:00:00.000	5	SO43718	27668	25346	25346	1
43721	1	2012-07-06 00:00:00.000	2012-07-18 00:00:00.000	2012-07-18 00:00:00.000	5	SO43721	13590	22146	22146	2
43722	1	2012-07-07 00:00:00.000	2012-07-19 00:00:00.000	2012-07-19 00:00:00.000	5	SO43722	13581	23990	23990	2
43723	1	2012-07-07 00:00:00.000	2012-07-19 00:00:00.000	2012-07-19 00:00:00.000	5	SO43723	14520	12708	12708	1
43724	1	2012-07-07 00:00:00.000	2012-07-19 00:00:00.000	2012-07-19 00:00:00.000	5	SO43724	16520	25572	25572	2
43727	1	2012-07-08 00:00:00.000	2012-07-20 00:00:00.000	2012-07-20 00:00:00.000	5	SO43727	16607	15502	15502	2
43729	1	2012-07-09 00:00:00.000	2012-07-21 00:00:00.000	2012-07-21 00:00:00.000	5	SO43729	11238	12420	12420	2
43731	1	2012-07-09 00:00:00.000	2012-07-21 00:00:00.000	2012-07-21 00:00:00.000	5	SO43731	16629	14019	14019	2
43732	1	2012-07-09 00:00:00.000	2012-07-21 00:00:00.000	2012-07-21 00:00:00.000	5	SO43732	11025	21635	21635	2
43733	1	2012-07-09 00:00:00.000	2012-07-21 00:00:00.000	2012-07-21 00:00:00.000	5	SO43733	27577	24572	24572	1
43734	1	2012-07-10 00:00:00.000	2012-07-22 00:00:00.000	2012-07-22 00:00:00.000	5	SO43734	27604	23224	23224	1
43735	1	2012-07-10 00:00:00.000	2012-07-22 00:00:00.000	2012-07-22 00:00:00.000	5	SO43735	16522	25384	25384	2
